ECONOMY,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"          Cameroon",36,49.8,47,65,63,75,87,95,75,81,115,108,97,98,126.401,135.82,125.848,145.506,131.959,121.708,188.799,224.819,227.053,208.141,220.887,352.866,477.883,447.227,510.879,704.102,802.429,1131.57,1384.18,1104.89,1062.53,975.527,885.967,722.117,782.058,828.557,926.932,1272.66,2002.13,1834.02,1840.37,1883.16,1486.3,1630.31,1606.11,1685.85,1670.98,1600.94,1833,1749,1802,2282.56,2476.762,2861.245,3576.42,4230.115,5240.985,3552.181,3878.433,4517.028,4274.015,4515.183,5144.622716,4058.190887,3304.6367,3233.040062,3816.804297
"          Canada",3201.91,3049.99,3019.86,3910.51,4630.45,4385.37,4197.41,4574.39,5156.52,5344.67,5273.38,5616.59,5818.3,6085.26,6212.63,6776.99,8037.05,8473.209999999999,10004.7,10999.8,13171.3,14350.1,16786.5,18373.6,21185.3,26436.9,34507.6,34074.2,40598.4,43544.8,48431.5,58293.9,67733.8,72726.10000000001,71233.5,76748.7,90271.7,90950.3,90329.2,98167.8,117105,121832,127629,127163,134435,145178,165376,192203,201641,214414,214307,238453,276617,259858,252394,272739,316762,360475.248,388177.873,420693.307,456470.923,316093.637,387481.217,451334.623,455591.827,458317.767,476300.183337,409965.23234,390048.34176,420829.475344,449844.858558
"          Cayman Islands","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3,1,1,1,1,6,9,19,7,12,18,16,13,16,16.5,19,26,22,14,18,18.5,16,14,16,24,59.3,23.4,21.469958,32.521508,27.584859,24.30492,36.719866,38.937599,51.356269,48.125541,64.777586,50.959606,33.230083,34
"          Central African Republic","..","..",16,16,16,14,20,16,18,16.89,16.134,15.513,13.965,13.821,14.326,22.161,29.144,26.552,30.904,29.136,35.613,35.428,30.514,32.518,39.4,37.282,48.225,47.288,61.197,81.541,71.711,79.62000000000001,115.684,78.66500000000001,107.343,74.43600000000001,84.866,91.744,66.343,130.367,130,134.373,120.361,126,107.023,109.757,151.115,170.891,146.808,162.506,151.384,146.396,161,142,147,128,133.829,128,157.586,177.771,150,120,140,190,203.123,115.982,98.500248,85.721532,114.838248,140.355205,178.082997
"          Chad","..","..",19,19,20,14,19,20,22,19.317,24.601,16.794,13.34,21.585,16.668,22.872,26.708,27.429,23.836,30.62,30.647,31.061,29.68,28.296,35.825,38.115,37.409,47.755,63.328,106.549,98.952,88.26600000000001,70.991,83.41,57.723,104.507,131.327,61.837,98.598,109.444,144.033,155.388,188,194,182,131,148,243,238,237,262,243,183,189,185,601,2191,3080.945,3351.948,3666.224,4168.556,2800,3600,4800,4800,3800,4193.728114,2200,1800,1600,1900
"          Chile",327,293.8,281.4,370.1,452.6,407.6,397.9,472.4,541.7000000000001,455.3,386.4,494.9,488.1,506.3,530.1,521.5,592.1,637.4,817.1,847.4,858,1075.4,1248.6,996.8,855.4,1230.5,2480.5,1552.1,2082.6,2190.3,2477.7,3894.2,4705.3,3836.5,3705.7,3830.5,3650.6,3804.1,4191.2,5223.7,7051.8,8078.4,8372.700000000001,8941.5,10007.4,9198.700000000001,11604.1,16024.2,16626.8,17870.2,16322.8,17162.2,19210.3,18272,18180,21664,32520.3,41266.9,58680.1,67971.628,64510.143,55462.671,71108.528876,81437.84385400001,77790.648,76769.937148,75064.69783000001,62035.09031,60733.437127,69229.867713,75481.906473
"          China",520,"..",550,760,820,1020,1150,1410,1650,2213.82,2725.64,3172.46,2571.28,1941.66,1913.23,2031.03,2250.38,2563.16,2680.95,2388.49,2339.74,2429.11,2307.25,2782.51,3692.54,5876.1,7107.89,7689,6943.44,7519.65,9954.860000000001,13614.1,18099.3,22007,22321,22226,26139,27350,30942,39437,47516,52538,62091,71910,84940,91744,121006,148780,151048,182792,183712,194931,249203,266098,325596,438228,593326,761953,968978,1220456,1430693,1201612,1577754,1898381,2048714,2209005,2342293,2273468,2097632,2263346,2487045
"          China, Hong Kong SAR",398.72,526.304,650.298,775.773,507.324,478.449,422.974,443.449,561.749,527.816,523.074,573.649,688.798,687.923,768.073,873.423,1012.2,1142.75,1323.52,1526.93,1744.05,2177.18,2514.6,2874.7,3436.26,5071.34,5967.56,6026.46,8484.469999999999,9616.48,11452.6,15139.8,20323,21775,21343,22454,28337,30077,36081,48712,63493,73336,82390,98659,119586,135385,151465,173871,180914,188195,174864,174403,202683,191066,201927.719,228708.249,265542.809,292119,322668.792,349385.575,370241.819,329421.935,400692.015,455573.38,492907.472,535546,524130,510596,516734,550272,569241
"          China, Macao SAR",10,2,3,3,3,3,3,6.92,6.38,7.11,7.48,9.720000000000001,10.78,14.4,16.58,20.77,21.87,21.38,24.03,25.288,28.101,37.409,42.259,49.045,71.75700000000001,99.919,109.604,133.406,188.112,219.151,258.431,389.116,613,686,722,763,913,906,1046,1402,1505,1643,1701,1665,1766,1787,1866,1997,1996,2148,2141,2200,2539,2300,2356,2581,2812,2476,2557.28,2542.67,1997.41,961.002,869.794,869.446,1021.31,1138.292,1241.334012,1339.024,1256.603,1405.823,1510.381
"          China, Taiwan Province of",17,17,72.59999999999999,98.40000000000001,116.5,127.7,93.3,123.4,118.5,143,156,156.096,164.2,201.25,220.75,332.25,434.25,449.5,536.75,640.5,802.25,1049.25,1428.25,1997.75,2913.58,4383.24,5518.42,5302.37,8155.26,9348.68,12681.9,16080.9,19842,22593,22182,25179,30547,30784,39897,53875,60695,66317,67245,76489,82036,85718,94078,113047,117330.657,123158.645,112466.938,123625.648,151356.875,125899.64,135080,150298.061,182431.815,198431.7,224017.3,246676.9,255628.7,203674.6,274600.6,308257.3,306409.14,311428,320092.06,285343.560525,280321.36928,317249.072029,335908.608
